Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,6,88.26,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,874.0,110.0,448.0,110.0,0.8882113821138211,0.8882113821138211,0.9173332459131043,0.6910787656263658,
BOOKKEEPER,output-mean,65.41,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,506.0,62.0,292.0,82.33333333333333,0.9003056506121844,0.8385518522371417,0.9189687498735023,0.6693446176940624,
BOOKKEEPER,1,31.47,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,294.0,72.0,134.0,14.0,0.8032786885245902,0.9545454545454546,0.8025154457193292,0.6346172921143991,
BOOKKEEPER,2,55.77,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,305.0,13.0,193.0,3.0,0.9591194968553459,0.9902597402597403,0.9635764720716177,0.9346658616416156,
BOOKKEEPER,3,62.7,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,467.0,36.0,244.0,24.0,0.9284294234592445,0.9511201629327902,0.9112743671806808,0.8301936658493254,
BOOKKEEPER,4,72.72,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,639.0,86.0,286.0,17.0,0.8813793103448276,0.9740853658536586,0.8714512850773669,0.7739781585935432,
BOOKKEEPER,5,81.51,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,782.0,136.0,366.0,1.0,0.8518518518518519,0.9987228607918263,0.8639032630652359,0.7647076906215877,
BOOKKEEPER,6,88.26,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,948.0,127.0,431.0,36.0,0.881860465116279,0.9634146341463414,0.8679080339190489,0.7627419108193677,
BOOKKEEPER,output-mean,65.41,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,572.5,78.33333333333333,275.6666666666667,15.833333333333334,0.8843198726920232,0.9720247030883019,0.8801048111722132,0.7834840966066398,
BOOKKEEPER,1,42.18,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,271.0,2.0,204.0,37.0,0.9926739926739927,0.8798701298701299,0.9552625772285966,0.8463507733815708,
BOOKKEEPER,2,68.05,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,308.0,0.0,206.0,0.0,1.0,1.0,1.0,1.0,
BOOKKEEPER,3,73.96,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,446.0,32.0,248.0,45.0,0.9330543933054394,0.9083503054989817,0.9612416351469305,0.7862212507607048,
BOOKKEEPER,4,82.09,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,653.0,36.0,336.0,3.0,0.9477503628447025,0.9954268292682927,0.9811028881458169,0.9162467724549398,
BOOKKEEPER,5,88.38,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,782.0,76.0,426.0,1.0,0.9114219114219114,0.9987228607918263,0.9781919575847313,0.8706697670892495,
BOOKKEEPER,6,92.82,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,903.0,53.0,505.0,81.0,0.944560669456067,0.9176829268292683,0.9671773465046478,0.8138607225477266,
BOOKKEEPER,output-mean,74.58,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,560.5,33.166666666666664,320.8333333333333,27.833333333333332,0.9549102216170188,0.9500088420430832,0.9738294007684538,0.872224881039032,
BOOKKEEPER,1,42.18,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,278.0,35.0,171.0,30.0,0.8881789137380192,0.9025974025974026,0.953213655276762,0.7356511005965851,
BOOKKEEPER,2,68.05,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,308.0,6.0,200.0,0.0,0.9808917197452229,1.0,1.0,0.975578854011593,
BOOKKEEPER,3,73.96,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,446.0,32.0,248.0,45.0,0.9330543933054394,0.9083503054989817,0.9498399767238871,0.7862212507607048,
BOOKKEEPER,4,82.09,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,654.0,79.0,293.0,2.0,0.8922237380627558,0.9969512195121951,0.9804472364280095,0.8213884289011487,
BOOKKEEPER,5,88.38,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,782.0,123.0,379.0,1.0,0.8640883977900552,0.9987228607918263,0.9765001297492024,0.7880694287424354,
