Index;Issue;IVersion;OVersion;AVersion;FixVersion
119;TAJO-1324;0.10.0;0.10.0;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
120;TAJO-1325;0.8.0;0.10.0;0.8.0, 0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
121;TAJO-1336;0.10.0;0.10.0;;0.10.0;
122;TAJO-1356;0.10.0;0.10.0;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
123;TAJO-1360;0.11.3;0.10.0;0.11.3;0.11.0;
124;TAJO-1365;0.11.0;0.10.0;;0.11.0;
125;TAJO-1366;0.9.0;0.10.0;0.9.0;0.10.0;
126;TAJO-1368;0.11.0;0.10.0;;0.11.0;
127;TAJO-137;0.2.0;0.2.0;;0.2.0;
128;TAJO-1370;0.11.3;0.10.0;0.11.3;0.11.0;
129;TAJO-1371;0.9.0;0.10.0;0.9.0;0.10.0;
130;TAJO-1378;0.10.0;0.10.1;0.10.0;0.10.1;
131;TAJO-1384;0.11.3;0.10.1;0.11.3;0.11.0;
132;TAJO-1386;0.11.3;0.10.1;0.11.3;0.11.0;
133;TAJO-1387;0.11.3;0.10.1;0.11.3;0.11.0;
134;TAJO-1396;0.11.3;0.10.1;0.11.3;0.11.0;
135;TAJO-14;0.2.0;0.2.0;;0.2.0;
136;TAJO-1405;0.11.0;0.10.1;;0.11.0;
137;TAJO-1414;0.11.3;0.10.1;0.11.3;0.11.0;
138;TAJO-1419;0.10.0;0.10.1;0.10.0;0.10.1;
139;TAJO-1434;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
140;TAJO-1440;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
141;TAJO-1446;0.11.3;0.10.1;0.11.3;0.11.0;
142;TAJO-1449;0.11.3;0.10.1;0.11.3;0.11.0;
143;TAJO-1467;0.11.3;0.10.1;0.11.3;0.11.0;
144;TAJO-1468;0.11.0;0.10.1;;0.11.0;
145;TAJO-1469;0.11.3;0.10.1;0.11.3;0.11.0;
146;TAJO-1479;0.11.3;0.10.1;0.11.3;0.11.0;
147;TAJO-1481;0.11.3;0.10.1;0.11.3;0.11.0;
148;TAJO-1491;0.10.0;0.10.1;0.10.0;0.10.1;
149;TAJO-1497;0.9.0;0.10.1;0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
150;TAJO-15;0.2.0;0.2.0;;0.2.0;
151;TAJO-1500;0.10.0;0.10.1;0.10.0;0.10.1;
152;TAJO-151;0.2.0;0.2.0;;0.2.0;
153;TAJO-1510;0.11.3;0.10.1;0.11.3;0.11.0;
154;TAJO-1512;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
155;TAJO-1516;0.10.0;0.10.1;0.10.0;0.10.1;
156;TAJO-152;0.2.0;0.2.0;;0.2.0;
157;TAJO-1522;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
