@relation 'BOOKKEEPER'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1060,36,36,2,103,883,8,50,3250,31,126,5731,55,126,769,7,126,9,YES
65,1,1,1,11,55,5,5,77,7,7,88,8,8,66,6,6,1,YES
1403,1,1,5,52,102,1,5,3935,75,442,4438,85,483,3432,66,401,9,YES
215,1,1,2,35,409,11,17,2457,70,195,2551,72,195,2363,67,195,3,YES
81,1,1,1,3,45,15,15,27,9,9,27,9,9,27,9,9,1,NO
78,1,1,1,8,64,8,8,32,4,4,32,4,4,32,4,4,1,NO
137,36,36,1,20,506,25,33,1087,54,75,1087,54,75,1087,54,75,2,NO
242,1,1,4,37,497,13,50,426,11,36,444,12,36,408,11,36,5,YES
67,36,36,1,13,52,4,4,13,1,1,26,2,2,0,0,0,1,NO
249,3,3,2,45,573,12,50,659,14,44,795,17,49,523,11,39,5,YES
271,1,1,2,16,130,8,16,37,2,4,71,4,5,3,0,3,2,NO
302,36,36,3,27,75,2,17,225,8,15,649,24,41,-199,-7,0,3,NO
584,1,1,3,31,565,18,50,472,15,41,519,16,41,425,13,41,4,YES
57,1,1,1,4,8,2,2,228,57,57,228,57,57,228,57,57,1,NO
41,1,1,1,3,12,4,4,123,41,41,123,41,41,123,41,41,1,NO
623,1,1,4,44,375,8,19,6708,152,506,7274,165,506,6142,139,506,6,YES
180,36,36,1,13,26,2,2,104,8,8,104,8,8,104,8,8,1,NO
210,1,1,2,15,75,5,17,486,32,40,588,39,48,384,25,32,2,YES
55,1,1,1,11,121,11,11,605,55,55,605,55,55,605,55,55,1,YES
159,1,1,1,44,375,8,12,124,2,6,182,4,6,66,1,6,4,YES
137,1,1,1,2,28,14,14,4,2,2,4,2,2,4,2,2,1,NO
217,1,1,5,58,541,9,50,2270,39,157,2296,39,157,2244,38,157,8,NO
180,36,36,3,32,257,8,16,833,26,53,927,28,66,739,23,40,4,YES
74,1,1,3,21,430,20,50,604,28,73,610,29,73,598,28,73,3,NO
84,1,1,2,21,87,4,7,1113,53,74,1113,53,74,1113,53,74,2,YES
464,1,1,1,7,350,50,50,140,20,20,266,38,38,14,2,2,1,NO
275,1,1,4,58,415,7,12,254,4,10,428,7,13,80,1,10,7,YES
339,1,1,3,44,650,14,50,3900,88,333,4016,91,333,3784,86,333,5,YES
255,1,1,4,65,740,11,19,2231,34,143,2697,41,153,1765,27,133,7,YES
163,36,36,1,12,180,15,15,36,3,3,48,4,4,24,2,2,1,YES
47,1,1,1,13,429,33,33,611,47,47,611,47,47,611,47,47,1,NO
