@relation 'BOOKKEEPER'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZeroBuffer.java,74,1,1,1,3,3,1,1,3,1,1,3,1,1,3,1,1,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicBookieCheckTest.java,124,1,1,2,23,116,5,7,1025,44,127,1054,45,127,996,43,127,3,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1060,36,36,2,103,883,8,50,3250,31,126,5731,55,126,769,7,126,9,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestZkVersion.java,65,1,1,1,11,55,5,5,77,7,7,88,8,8,66,6,6,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,1403,1,1,5,52,102,1,5,3935,75,442,4438,85,483,3432,66,401,9,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,215,1,1,2,35,409,11,17,2457,70,195,2551,72,195,2363,67,195,3,YES
1,bookkeeper-stats-providers/twitter-science-provider/src/main/java/org/apache/bookkeeper/stats/twitter/science/TwitterStatsLoggerImpl.java,81,1,1,1,3,45,15,15,27,9,9,27,9,9,27,9,9,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationException.java,78,1,1,1,8,64,8,8,32,4,4,32,4,4,32,4,4,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,137,36,36,1,20,506,25,33,1087,54,75,1087,54,75,1087,54,75,2,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java,242,1,1,4,37,497,13,50,426,11,36,444,12,36,408,11,36,5,YES
