Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,3,49.41,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,3918.0,448.0,769.0,33.0,0.8973889143380669,0.9916476841305999,0.8117646801918406,0.7069356684717176,
TAJO,4,61.53,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,5092.0,479.0,877.0,12.0,0.9140190271046491,0.9976489028213166,0.8222020325316023,0.7376835675815506,
TAJO,output-mean,41.65,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,3309.0,495.25,627.5,90.25,0.8506504059893742,0.9669663207676706,0.7523940589903759,0.5721209716455448,
TAJO,1,38.17,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,1688.0,436.0,383.0,77.0,0.7947269303201506,0.9563739376770538,0.765341551743818,0.4804566490662588,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,2247.0,346.0,753.0,530.0,0.8665638256845353,0.8091465610370904,0.8453122834357223,0.47051475860485886,
TAJO,3,69.12,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,3649.0,291.0,926.0,302.0,0.9261421319796954,0.923563654770944,0.947482274127578,0.6823173012254415,
TAJO,4,79.17,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,5059.0,281.0,1075.0,45.0,0.947378277153558,0.9911833855799373,0.9856598532240316,0.8374719853799185,
TAJO,output-mean,60.7,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,3160.75,338.5,784.25,238.5,0.8837027912844848,0.9200668847662563,0.8859489906327874,0.6176901735691194,
TAJO,1,38.17,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,1731.0,566.0,253.0,34.0,0.7535916412712234,0.9807365439093484,0.7579442905221943,0.3506988447096447,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,2389.0,499.0,600.0,388.0,0.8272160664819944,0.8602808786460209,0.8175461831769675,0.4190180188279413,
TAJO,3,69.12,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,3846.0,477.0,740.0,105.0,0.8896599583622484,0.973424449506454,0.921090673819199,0.6502458345572153,
TAJO,4,79.17,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,5103.0,480.0,876.0,1.0,0.9140247178936056,0.9998040752351097,0.9750480564725682,0.7420666609334495,
TAJO,output-mean,60.7,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,3267.25,505.5,617.25,132.0,0.8461230960022679,0.9535614868242333,0.8679073009977322,0.5405073397570627,
TAJO,1,38.17,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,1738.0,558.0,261.0,27.0,0.7569686411149826,0.9847025495750709,0.6516919341281947,0.3671820839738375,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,2514.0,502.0,597.0,263.0,0.833554376657825,0.905293482175009,0.72425729613755,0.48005577607085936,
TAJO,3,69.12,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,3931.0,456.0,761.0,20.0,0.8960565306587646,0.9949379903821818,0.8101230625698912,0.7080056168105492,
