Index;Issue;IVersion;OVersion;AVersion;FixVersion
116;BOOKKEEPER-302;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
117;BOOKKEEPER-303;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
118;BOOKKEEPER-306;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
119;BOOKKEEPER-307;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
120;BOOKKEEPER-313;4.2.1;4.1.1;4.2.1, 4.2.2;4.3.0;
121;BOOKKEEPER-322;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
122;BOOKKEEPER-324;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
123;BOOKKEEPER-326;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
124;BOOKKEEPER-327;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
125;BOOKKEEPER-329;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
126;BOOKKEEPER-330;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
127;BOOKKEEPER-336;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
128;BOOKKEEPER-337;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
129;BOOKKEEPER-338;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
130;BOOKKEEPER-343;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
131;BOOKKEEPER-349;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
132;BOOKKEEPER-351;4.2.0;4.1.1;;4.2.0;
133;BOOKKEEPER-352;4.2.0;4.1.1;;4.2.0;
134;BOOKKEEPER-354;4.2.0;4.1.1;;4.2.0;
135;BOOKKEEPER-355;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
136;BOOKKEEPER-363;4.2.0;4.1.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
137;BOOKKEEPER-365;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
138;BOOKKEEPER-371;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
139;BOOKKEEPER-372;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
140;BOOKKEEPER-374;4.2.0;4.1.1;;4.1.1;
