@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
987,1,1,1,50,470,9,27,430,8,21,900,18,40,-40,0,13,5,NO
110,20,20,1,17,510,30,30,306,18,18,391,23,23,221,13,13,1,NO
49,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
497,1,1,1,23,1315,57,94,83,3,6,177,7,12,-11,0,0,2,YES
468,1,1,1,12,232,19,26,492,41,60,600,50,72,384,32,48,2,NO
132,20,20,4,89,379,4,10,1726,19,55,2604,29,88,848,9,22,8,YES
304,8,8,1,58,777,13,30,5377,92,280,5515,95,280,5239,90,280,4,YES
572,1,1,4,144,697,4,10,1719,11,66,2698,18,109,740,5,23,13,NO
331,47,47,2,68,1360,20,45,901,13,47,1564,23,79,238,3,15,4,NO
147,1,1,1,10,100,10,10,10,1,1,20,2,2,0,0,0,1,NO
885,1,1,3,46,385,8,29,247,5,17,472,10,32,22,0,2,5,NO
274,1,1,1,2,258,129,130,4,2,2,6,3,3,2,1,1,1,NO
89,47,47,2,34,1343,39,52,68,2,3,153,4,5,-17,0,1,2,NO
587,1,1,2,73,368,5,10,3711,50,107,4777,65,201,2645,36,94,7,NO
183,1,1,1,1,6,6,6,3,3,3,4,4,4,2,2,2,1,NO
430,47,47,1,34,119,3,6,102,3,3,170,5,5,34,1,1,2,NO
45,20,20,1,12,480,40,40,12,1,1,24,2,2,0,0,0,1,YES
77,1,1,1,12,1128,94,94,60,5,5,120,10,10,0,0,0,1,YES
924,1,1,2,13,370,28,130,21,1,2,42,3,4,0,0,0,3,NO
106,1,0,1,8,56,7,7,0,0,0,8,1,1,-8,-1,0,1,NO
118,1,1,1,4,12,3,3,4,1,1,8,2,2,0,0,0,1,NO
246,14,14,1,29,726,25,30,599,20,31,1162,40,62,36,1,3,2,YES
266,1,1,1,8,16,2,2,64,8,8,88,11,11,40,5,5,1,NO
224,1,1,1,2,258,129,130,8,4,4,12,6,6,4,2,2,1,NO
94,20,20,1,24,1608,67,94,24,1,1,48,2,2,0,0,0,2,YES
213,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
493,20,20,1,85,1615,19,33,5593,65,218,9605,113,387,1581,18,49,5,NO
390,1,1,1,2,258,129,130,5,2,3,8,4,5,2,1,1,1,NO
528,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
68,47,47,1,17,34,2,2,17,1,1,51,3,3,-17,-1,0,1,NO
204,16,16,1,34,714,21,33,1683,49,61,2329,68,74,1037,30,59,2,NO
163,1,1,1,2,258,129,130,10,5,5,40,20,20,-20,-10,0,1,NO
1319,47,47,2,34,204,6,10,1513,44,68,2210,65,92,816,24,44,2,NO
772,1,1,2,31,250,8,11,361,11,32,552,17,37,170,5,27,3,NO
2161,1,1,6,73,1180,16,130,689,9,32,899,12,42,479,6,22,10,NO
119,1,1,1,8,32,4,4,80,10,10,80,10,10,80,10,10,1,NO
152,20,20,1,12,36,3,3,408,34,34,588,49,49,228,19,19,1,YES
944,20,20,4,70,2394,34,94,3768,53,250,4284,61,251,3252,46,249,5,YES
34,1,1,1,12,324,27,27,408,34,34,408,34,34,408,34,34,1,NO
227,1,1,1,11,154,14,14,55,5,5,55,5,5,55,5,5,1,NO
99,47,47,1,17,1105,65,65,51,3,3,238,14,14,-136,-8,0,1,NO
120,20,20,2,34,663,19,21,221,6,9,391,11,15,51,1,3,2,NO
163,20,20,2,29,143,4,7,610,21,26,746,25,34,474,16,18,2,YES
94,1,1,1,8,24,3,3,16,2,2,16,2,2,16,2,2,1,NO
234,12,12,1,17,340,20,20,17,1,1,68,4,4,-34,-2,0,1,NO
38,1,1,1,10,70,7,7,380,38,38,380,38,38,380,38,38,1,NO
126,1,1,1,11,176,16,16,1386,126,126,1386,126,126,1386,126,126,1,NO
