@relation 'TAJO'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,tajo-common/src/main/java/org/apache/tajo/util/TUtil.java,211,20,20,2,50,807,16,30,521,10,22,560,11,22,482,9,22,4,YES
1,tajo-common/src/main/java/org/apache/tajo/util/graph/DirectedGraph.java,65,1,1,1,3,48,16,16,6,2,2,9,3,3,3,1,1,1,NO
1,tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/AbstractDBStore.java,1627,6,6,6,119,2227,18,94,1559,13,37,4368,36,307,-1250,-10,14,11,YES
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/physical/MergeJoinExec.java,179,47,47,1,17,1105,65,65,68,4,4,204,12,12,-68,-4,0,1,NO
1,tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/TupleRange.java,103,1,0,1,10,40,4,4,0,0,0,90,9,9,-90,-9,0,1,NO
1,tajo-jdbc/src/main/java/org/apache/tajo/jdbc/TajoDatabaseMetaData.java,1206,1,1,1,35,1242,35,94,975,27,81,1872,53,156,78,2,6,3,YES
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/json/TableMetaAdapter.java,55,20,20,1,10,90,9,9,40,4,4,120,12,12,-40,-4,0,1,NO
1,tajo-core/src/test/java/org/apache/tajo/master/TestExecutionBlockCursor.java,123,1,1,1,12,72,6,6,12,1,1,24,2,2,0,0,0,1,NO
1,tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/CatalogStore.java,151,20,20,1,5,145,29,29,25,5,5,440,88,88,-390,-78,0,1,NO
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/query/TestDropTable.java,38,1,1,1,12,132,11,11,24,2,2,60,5,5,-12,-1,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/eval/CastEval.java,91,1,1,1,12,144,12,12,48,4,4,48,4,4,48,4,4,1,NO
1,tajo-common/src/main/java/org/apache/tajo/util/datetime/DateTimeConstants.java,659,1,1,2,10,24,2,6,172,17,18,289,28,31,55,5,10,2,NO
1,tajo-core/tajo-core-storage/src/main/java/tajo/storage/MergeScanner.java,94,42,42,1,34,1649,48,52,1802,53,82,1802,53,82,1802,53,82,2,NO
1,tajo-core/tajo-core-storage/src/main/java/tajo/storage/FileScanner.java,48,47,47,1,17,765,45,45,595,35,35,765,45,45,425,25,25,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/HashPartitioner.java,49,20,20,1,12,60,5,5,60,5,5,60,5,5,60,5,5,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/worker/Fetcher.java,259,20,20,2,48,216,4,12,792,16,37,1248,26,52,336,7,22,4,YES
1,tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/HttpFileServerHandler.java,175,1,1,1,4,20,5,5,24,6,6,48,12,12,0,0,0,1,NO
1,tajo-rpc/src/main/java/org/apache/tajo/rpc/AsyncRpcServer.java,127,5,5,2,40,563,14,21,130,3,5,238,5,10,22,0,2,3,YES
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/logical/StoreTableNode.java,152,47,47,1,17,527,31,31,799,47,47,1122,66,66,476,28,28,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/rewrite/PartitionedTableRewriter.java,361,1,1,1,11,22,2,2,33,3,3,209,19,19,-143,-13,0,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/query/TestSortQuery.java,412,1,1,2,14,216,15,50,362,25,56,473,33,56,251,17,56,3,NO
1,tajo-core/src/main/java/org/apache/tajo/master/LaunchTaskRunnersEvent.java,46,1,1,1,10,370,37,37,30,3,3,50,5,5,10,1,1,1,NO
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestHashJoinExec.java,232,20,20,1,41,1737,42,94,1234,30,98,1340,32,102,1128,27,94,3,YES
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AlterTableDesc.java,157,1,1,1,23,379,16,27,223,9,14,382,16,19,64,2,9,2,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/HashAggregateExec.java,121,20,20,1,29,1638,56,94,420,14,24,534,18,30,306,10,18,2,YES
1,tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/Min.java,76,1,1,1,10,230,23,23,760,76,76,760,76,76,760,76,76,1,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/physical/SelectionExec.java,71,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/NoSuchFunctionException.java,36,20,20,1,12,96,8,8,120,10,10,156,13,13,84,7,7,1,YES
1,tajo-core/src/main/java/org/apache/tajo/engine/eval/SimpleEvalNodeVisitor.java,172,1,1,1,11,55,5,5,33,3,3,33,3,3,33,3,3,1,NO
1,tajo-common/src/test/java/org/apache/tajo/datum/TestTimeDatum.java,131,1,1,2,14,330,23,130,98,7,8,100,7,8,96,6,8,2,NO
1,tajo-common/src/main/java/org/apache/tajo/util/TimeStampUtil.java,67,1,1,1,12,24,2,2,84,7,7,132,11,11,36,3,3,1,NO
1,tajo-core/tajo-core-backend/src/test/java/tajo/engine/plan/global/TestGlobalQueryPlanner.java,528,47,47,2,85,3366,39,65,238,2,9,459,5,15,17,0,3,5,NO
1,tajo-core/src/main/java/org/apache/tajo/webapp/QueryExecutorServlet.java,470,1,1,5,49,218,4,12,1911,39,136,2760,56,208,1062,21,64,5,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/ProjectionExec.java,69,20,20,1,12,1128,94,94,12,1,1,24,2,2,0,0,0,1,YES
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/physical/NLJoinExec.java,106,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/PartitionMergeScanExec.java,153,1,1,1,11,176,16,16,110,10,10,110,10,10,110,10,10,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/ColPartitionStoreExec.java,130,1,1,2,24,324,13,130,112,4,8,136,5,9,88,3,7,3,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/function/builtin/SumLong.java,102,1,1,1,10,230,23,23,270,27,27,340,34,34,200,20,20,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/function/math/RoundFloat8.java,85,1,1,1,11,33,3,3,187,17,17,451,41,41,-77,-7,0,1,NO
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/QueryTestCaseBase.java,458,1,1,2,48,625,13,22,792,16,29,1080,22,35,504,10,23,5,YES
1,tajo-core-tests/src/test/java/org/apache/tajo/worker/TestTaskExecutor.java,316,1,1,1,2,258,129,130,6,3,3,9,4,5,3,1,2,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/planner/physical/TestLeftOuterHashJoinExec.java,444,1,1,1,2,258,129,130,11,5,6,20,10,11,2,1,1,1,NO
1,tajo-common/src/main/java/org/apache/tajo/ha/HAConstants.java,28,1,1,1,9,119,13,15,9,1,1,9,1,1,9,1,1,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/engine/query/TestJoinOnPartitionedTables.java,343,1,1,2,6,104,17,50,26,4,5,42,7,7,10,1,3,2,NO
1,tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/StorageManager.java,987,1,1,1,50,470,9,27,430,8,21,900,18,40,-40,0,13,5,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/physical/AggregationExec.java,110,20,20,1,17,510,30,30,306,18,18,391,23,23,221,13,13,1,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner/physical/PhysicalExec.java,49,47,47,1,17,1105,65,65,51,3,3,170,10,10,-68,-4,0,1,NO
1,tajo-storage/src/main/java/org/apache/tajo/storage/RowFile.java,497,1,1,1,23,1315,57,94,83,3,6,177,7,12,-11,0,0,2,YES
1,tajo-rpc/tajo-rpc-protobuf/src/test/java/org/apache/tajo/rpc/TestAsyncRpc.java,468,1,1,1,12,232,19,26,492,41,60,600,50,72,384,32,48,2,NO
1,tajo-rpc/src/main/java/org/apache/tajo/rpc/NettyClientBase.java,132,20,20,4,89,379,4,10,1726,19,55,2604,29,88,848,9,22,8,YES
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/BasicEvalNodeVisitor.java,304,8,8,1,58,777,13,30,5377,92,280,5515,95,280,5239,90,280,4,YES
1,tajo-client/src/main/java/org/apache/tajo/cli/TajoCli.java,572,1,1,4,144,697,4,10,1719,11,66,2698,18,109,740,5,23,13,NO
1,tajo-core/tajo-core-storage/src/main/java/tajo/storage/rcfile/RCFileWrapper.java,331,47,47,2,68,1360,20,45,901,13,47,1564,23,79,238,3,15,4,NO
1,tajo-core/src/main/java/org/apache/tajo/scheduler/SimpleFifoScheduler.java,147,1,1,1,10,100,10,10,10,1,1,20,2,2,0,0,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/master/TajoMasterClientService.java,885,1,1,3,46,385,8,29,247,5,17,472,10,32,22,0,2,5,NO
